Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
12/29/23,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,4.56,,,,-4.56,1686.18,
12/29/23,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,4.56,1686.18,
12/28/23,REINVESTMENT as of Dec-27-2023 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Cash),VDIGX,VANGUARD DIVIDEND GROWTH INVESTOR CL,Cash,37.12,5.635,,,,-209.18,1681.62,
12/28/23,REINVESTMENT as of Dec-27-2023 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Cash),VDIGX,VANGUARD DIVIDEND GROWTH INVESTOR CL,Cash,37.12,3.764,,,,-139.72,1890.8,
12/28/23,DIVIDEND RECEIVED as of Dec-27-2023 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Cash),VDIGX,VANGUARD DIVIDEND GROWTH INVESTOR CL,Cash,,0,,,,209.18,2030.52,
12/28/23,DIVIDEND RECEIVED PUBLIC STORAGE OPER CO COM (PSA) (Cash),PSA,PUBLIC STORAGE OPER CO COM,Cash,,0,,,,62.18,1821.34,
12/28/23,LONG-TERM CAP GAIN as of Dec-27-2023 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Cash),VDIGX,VANGUARD DIVIDEND GROWTH INVESTOR CL,Cash,,0,,,,139.72,1759.16,
12/27/23,DIVIDEND RECEIVED VANGUARD INDEX FDS VANGUARD VALUE ET... (VTV) (Cash),VTV,VANGUARD INDEX FDS VANGUARD VALUE ETF F,Cash,,0,,,,135.15,1619.44,
12/27/23,DIVIDEND RECEIVED ISHARES INC MSCI GBL GOLD MN (RING) (Cash),RING,ISHARES INC MSCI GBL GOLD MN,Cash,,0,,,,60.22,1484.29,
12/27/23,DIVIDEND RECEIVED ISHARES TR U.S. MED DVC ETF (IHI) (Cash),IHI,ISHARES TR U.S. MED DVC ETF,Cash,,0,,,,21.28,1424.07,
