

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
01/11/2024,"FOREIGN TAX PAID TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Cash)",TSM,"TAIWAN SEMICONDUCTOR MANUFACTURING SPON",Cash,,0.000,,,,-11.29,1728.65,
01/11/2024,"DIVIDEND RECEIVED TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Cash)",TSM,"TAIWAN SEMICONDUCTOR MANUFACTURING SPON",Cash,,0.000,,,,53.76,1739.94,
12/29/2023,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,4.56,,,,-4.56,1686.18,
12/29/2023,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,4.56,1686.18,
12/28/2023,"REINVESTMENT as of Dec-27-2023 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Cash)",VDIGX,"VANGUARD DIVIDEND GROWTH INVESTOR CL",Cash,37.12,5.635,,,,-209.18,1681.62,
12/28/2023,"REINVESTMENT as of Dec-27-2023 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Cash)",VDIGX,"VANGUARD DIVIDEND GROWTH INVESTOR CL",Cash,37.12,3.764,,,,-139.72,1890.80,
12/28/2023,"DIVIDEND RECEIVED as of Dec-27-2023 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Cash)",VDIGX,"VANGUARD DIVIDEND GROWTH INVESTOR CL",Cash,,0.000,,,,209.18,2030.52,
12/28/2023,"DIVIDEND RECEIVED PUBLIC STORAGE OPER CO COM (PSA) (Cash)",PSA,"PUBLIC STORAGE OPER CO COM",Cash,,0.000,,,,62.18,1821.34,
12/28/2023,"LONG-TERM CAP GAIN as of Dec-27-2023 VANGUARD DIVIDEND GROWTH INVESTOR CL (VDIGX) (Cash)",VDIGX,"VANGUARD DIVIDEND GROWTH INVESTOR CL",Cash,,0.000,,,,139.72,1759.16,
12/27/2023,"DIVIDEND RECEIVED VANGUARD INDEX FDS VANGUARD VALUE ET... (VTV) (Cash)",VTV,"VANGUARD INDEX FDS VANGUARD VALUE ETF F",Cash,,0.000,,,,135.15,1619.44,
12/27/2023,"DIVIDEND RECEIVED ISHARES INC MSCI GBL GOLD MN (RING) (Cash)",RING,"ISHARES INC MSCI GBL GOLD MN",Cash,,0.000,,,,60.22,1484.29,
12/27/2023,"DIVIDEND RECEIVED ISHARES TR U.S. MED DVC ETF (IHI) (Cash)",IHI,"ISHARES TR U.S. MED DVC ETF",Cash,,0.000,,,,21.28,1424.07,
12/26/2023,"DIVIDEND RECEIVED VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash)",VOO,"VANGUARD INDEX FUNDS S&P 500 ETF USD",Cash,,0.000,,,,398.23,1402.79,
12/22/2023,"DIVIDEND RECEIVED VANGUARD WORLD FD UTILITIES ETF (VPU) (Cash)",VPU,"VANGUARD WORLD FD UTILITIES ETF",Cash,,0.000,,,,42.91,1004.56,
12/22/2023,"DIVIDEND RECEIVED VANECK ETF TRUST URANIUM AND NUCL (NLR) (Cash)",NLR,"VANECK ETF TRUST URANIUM AND NUCL",Cash,,0.000,,,,231.01,961.65,
12/22/2023,"DIVIDEND RECEIVED J P MORGAN EXCHANGE TRADED FD BETABU... (BBJP) (Cash)",BBJP,"J P MORGAN EXCHANGE TRADED FD BETABULDR",Cash,,0.000,,,,257.25,730.64,
12/22/2023,"DIVIDEND RECEIVED INVESCO EXCHANGE TRADED FD TR S&P500... (RSP) (Cash)",RSP,"INVESCO EXCHANGE TRADED FD TR S&P500 EQ",Cash,,0.000,,,,36.68,473.39,
12/14/2023,"DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Cash)",MSFT,"MICROSOFT CORP",Cash,,0.000,,,,14.15,436.71,
12/01/2023,"YOU BOUGHT VANECK ETF TRUST URANIUM AND NUCL (NLR) (Cash)",NLR,"VANECK ETF TRUST URANIUM AND NUCL",Cash,74.04,70,,,,-5182.8,422.56,12/05/2023
12/01/2023,"YOU BOUGHT VANECK ETF TRUST URANIUM AND NUCL (NLR) (Cash)",NLR,"VANECK ETF TRUST URANIUM AND NUCL",Cash,74.31,0.904,,,,-67.18,5605.36,12/05/2023
12/01/2023,"YOU BOUGHT ISHARES INC MSCI GBL GOLD MN (RING) (Cash)",RING,"ISHARES INC MSCI GBL GOLD MN",Cash,24.64,212,,,,-5223.68,5672.54,12/05/2023
12/01/2023,"YOU BOUGHT ISHARES INC MSCI GBL GOLD MN (RING) (Cash)",RING,"ISHARES INC MSCI GBL GOLD MN",Cash,24.76,1,,,,-24.76,10896.22,12/05/2023
12/01/2023,"YOU BOUGHT ISHARES INC MSCI GBL GOLD MN (RING) (Cash)",RING,"ISHARES INC MSCI GBL GOLD MN",Cash,24.74,0.063,,,,-1.56,10920.98,12/05/2023
